"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"appointment-lt","Appointment.recurrenceTemplate.monthlyTemplate.dayOfMonth","Appointment.recurrenceTemplate.monthlyTemplate.dayOfMonth","","","",0,1,"","","","positiveInt {[]} {[]}
","Recurs on a specific day of the month","Indicates that appointments in the series of recurring appointments should occur on a specific day of the month.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.monthlyTemplate.dayOfMonth",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.recurrenceTemplate.monthlyTemplate.nthWeekOfMonth","Appointment.recurrenceTemplate.monthlyTemplate.nthWeekOfMonth","","","",0,1,"","","","Coding {[]} {[]}
","Indicates which week of the month the appointment should occur","Indicates which week within a month the appointments in the series of recurring appointments should occur on.","","","","","","","","","",,"required","The set of weeks in a month.","http://hl7.org/fhir/ValueSet/week-of-month|5.0.0","",,,,"Appointment.recurrenceTemplate.monthlyTemplate.nthWeekOfMonth",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.recurrenceTemplate.monthlyTemplate.dayOfWeek","Appointment.recurrenceTemplate.monthlyTemplate.dayOfWeek","","","",0,1,"","","","Coding {[]} {[]}
","Indicates which day of the week the appointment should occur","Indicates which day of the week the recurring appointments should occur each nth week.","This property is intended to be used with Appointment.recurrenceTemplate.monthly.nthWeek.","","","","","","","","",,"required","The days of the week.","http://hl7.org/fhir/ValueSet/days-of-week|5.0.0","",,,,"Appointment.recurrenceTemplate.monthlyTemplate.dayOfWeek",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.recurrenceTemplate.monthlyTemplate.monthInterval","Appointment.recurrenceTemplate.monthlyTemplate.monthInterval","","","",1,1,"","","","positiveInt {[]} {[]}
","Recurs every nth month","Indicates that recurring appointments should occur every nth month.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.monthlyTemplate.monthInterval",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.recurrenceTemplate.yearlyTemplate","Appointment.recurrenceTemplate.yearlyTemplate","","","",0,1,"","","","BackboneElement {[]} {[]}
","Information about yearly recurring appointments","Information about yearly recurring appointments.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.yearlyTemplate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.recurrenceTemplate.yearlyTemplate.id","Appointment.recurrenceTemplate.yearlyTemplate.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"appointment-lt","Appointment.recurrenceTemplate.yearlyTemplate.extension","Appointment.recurrenceTemplate.yearlyTemplate.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"appointment-lt","Appointment.recurrenceTemplate.yearlyTemplate.modifierExtension","Appointment.recurrenceTemplate.yearlyTemplate.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"appointment-lt","Appointment.recurrenceTemplate.yearlyTemplate.yearInterval","Appointment.recurrenceTemplate.yearlyTemplate.yearInterval","","","",1,1,"","","","positiveInt {[]} {[]}
","Recurs every nth year","Appointment recurs every nth year.","","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.yearlyTemplate.yearInterval",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.recurrenceTemplate.excludingDate","Appointment.recurrenceTemplate.excludingDate","","","",0,*,"","","","date {[]} {[]}
","Any dates that should be excluded from the series","Any dates, such as holidays, that should be excluded from the recurrence.","excludingDate is an alternative to excludingRecurrenceId.  You may say either that 12/25/XXXX should be excluded using excludingDate, or you may indicate the recurrenceId of the appointment that would fall on the excluded date in the excludingRecurrenceId property.","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.excludingDate",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.recurrenceTemplate.excludingRecurrenceId","Appointment.recurrenceTemplate.excludingRecurrenceId","","","",0,*,"","","","positiveInt {[]} {[]}
","Any recurrence IDs that should be excluded from the recurrence","Any dates, such as holidays, that should be excluded from the recurrence.","excludingRecurrenceId is an alternative to excludingDate.  You may say either that 12/25/XXXX should be excluded using excludingDate, or you may indicate the recurrenceId of the appointment that would fall on the excluded date in the excludingRecurrenceId property.","","","","","","","","",,,,,"",,,,"Appointment.recurrenceTemplate.excludingRecurrenceId",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan","CarePlan","","Care Team
","",0,*,"","","","null {[]} {[]}
","Healthcare plan for patient or group","Describes the intention of how one or more practitioners intend to deliver care for a particular patient, group or community for a period of time, possibly limited to care for a specific condition or set of conditions.","","","","","","","","","",,,,,"",,,,"CarePlan",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().ofType(canonical) | %resource.descendants().ofType(uri) | %resource.descendants().ofType(url))) or descendants().where(reference = '#').exists() or descendants().where(ofType(canonical) = '#').exists() or descendants().where(ofType(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}"
"care-plan-lt","CarePlan.id","CarePlan.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","Within the context of the FHIR RESTful interactions, the resource has an id except for cases like the create and conditional update. Otherwise, the use of the resouce id depends on the given use case.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"care-plan-lt","CarePlan.meta","CarePlan.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.implicitRules","CarePlan.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of its narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.language","CarePlan.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"required","IETF language tag for a human language","http://hl7.org/fhir/ValueSet/all-languages|5.0.0","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.text","CarePlan.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have a narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"dom-6
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.contained","CarePlan.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, nor can they have their own independent transaction scope. This is allowed to be a Parameters resource if and only if it is referenced by a resource that provides context/meaning.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags in their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"dom-2
dom-4dom-3dom-5",""
"care-plan-lt","CarePlan.extension","CarePlan.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"care-plan-lt","CarePlan.modifierExtension","CarePlan.modifierExtension","","extensions
user content","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"care-plan-lt","CarePlan.identifier","CarePlan.identifier","","","",0,*,"Y","","Y","Identifier {[]} {[]}
","External Ids for this plan","Business identifiers assigned to this care plan by the performer or other systems which remain constant as the resource is updated and propagates from server to server.","This is a business identifier, not a resource identifier (see [discussion](http://hl7.org/fhir/R5/resource.html#identifiers)).  It is best practice for the identifier to only appear on a single resource instance, however business practices may occasionally dictate that multiple resource instances with the same identifier can exist - possibly even with different resource types.  For example, multiple Patient and a Person resource instance might share the same social insurance number.","Allows identification of the care plan as it is known by various participating systems and in a way that remains consistent across servers.","","","","","","","",,,,,"",,,,"CarePlan.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.instantiatesCanonical","CarePlan.instantiatesCanonical","","","",0,*,"","","Y","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/PlanDefinition|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Questionnaire|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Measure|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/ActivityDefinition|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/OperationDefinition|5.0.0]]}
","Instantiates FHIR protocol or definition","The URL pointing to a FHIR-defined protocol, guideline, questionnaire or other definition that is adhered to in whole or in part by this CarePlan.","","","","","","","","","",,,,,"",,,,"CarePlan.instantiatesCanonical",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.instantiatesUri","CarePlan.instantiatesUri","","","",0,*,"","","Y","uri {[]} {[]}
","Instantiates external protocol or definition","The URL pointing to an externally maintained protocol, guideline, questionnaire or other definition that is adhered to in whole or in part by this CarePlan.","This might be an HTML page, PDF, etc. or could just be a non-resolvable URI identifier.","","","","","","","","",,,,,"",,,,"CarePlan.instantiatesUri",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.basedOn","CarePlan.basedOn","","fulfills
","",0,*,"Y","","Y","Reference {[]} {[CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/service-request-lt|0.3.0], CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/care-plan-lt|0.3.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/RequestOrchestration|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/NutritionOrder|5.0.0]]}
","Fulfills plan, proposal or order","A higher-level request resource (i.e. a plan, proposal or order) that is fulfilled in whole or in part by this care plan.","","Allows tracing of the care plan and tracking whether proposals/recommendations were acted upon.","","","","","","","",,,,,"",,,,"CarePlan.basedOn",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.replaces","CarePlan.replaces","","supersedes
","",0,*,"Y","","Y","Reference {[]} {[CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/care-plan-lt|0.3.0]]}
","CarePlan replaced by this CarePlan","Completed or terminated care plan whose function is taken by this new care plan.","The replacement could be because the initial care plan was immediately rejected (due to an issue) or because the previous care plan was completed, but the need for the action described by the care plan remains ongoing.","Allows tracing the continuation of a therapy or administrative process instantiated through multiple care plans.","","","","","","","",,,,,"",,,,"CarePlan.replaces",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.partOf","CarePlan.partOf","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CarePlan|5.0.0]]}
","Part of referenced CarePlan","A larger care plan of which this particular care plan is a component or step.","Each care plan is an independent request, such that having a care plan be part of another care plan can cause issues with cascading statuses.  As such, this element is still being discussed.","","","","","","","","",,,,,"",,,,"CarePlan.partOf",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.status","CarePlan.status","","","",1,1,"Y","Y","Y","code {[]} {[]}
","draft | active | on-hold | revoked | completed | entered-in-error | unknown","Indicates whether the plan is currently being acted upon, represents future intentions or is now a historical record.","The unknown code is not to be used to convey other statuses.  The unknown code should be used when one of the statuses applies, but the authoring system doesn't know the current state of the care plan.

This element is labeled as a modifier because the status contains the code entered-in-error that marks the plan as not currently valid.","Allows clinicians to determine whether the plan is actionable or not.","","","","","","","",,"required","Indicates whether the plan is currently being acted upon, represents future intentions or is now a historical record.","http://hl7.org/fhir/ValueSet/request-status|5.0.0","",,,,"CarePlan.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.intent","CarePlan.intent","","","",1,1,"Y","Y","Y","code {[]} {[]}
","proposal | plan | order | option | directive","Indicates the level of authority/intentionality associated with the care plan and where the care plan fits into the workflow chain.","This element is labeled as a modifier because the intent alters when and how the resource is actually applicable.
This element is expected to be immutable. E.g. A ""proposal"" instance should never change to be a ""plan"" instance or ""order"" instance. Instead, a new instance 'basedOn' the prior instance should be created with the new 'intent' value.","Proposals/recommendations, plans and orders all use the same structure and can exist in the same fulfillment chain.","","","","","","","",,"required","Codes indicating the degree of authority/intentionality associated with a care plan.","http://hl7.org/fhir/ValueSet/care-plan-intent|5.0.0","",,,,"CarePlan.intent",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.category","CarePlan.category","","","",0,*,"Y","","Y","CodeableConcept {[]} {[]}
","Type of plan","Identifies what ""kind"" of plan this is to support differentiation between multiple co-existing plans; e.g. ""Home health"", ""psychiatric"", ""asthma"", ""disease management"", ""wellness plan"", etc.","There may be multiple axes of categorization and one plan may serve multiple purposes.  In some cases, this may be redundant with references to CarePlan.addresses.","Used for filtering what plan(s) are retrieved and displayed to different types of users.","","","","","","","",,"example","Identifies what ""kind"" of plan this is to support differentiation between multiple co-existing plans; e.g. ""Home health"", ""psychiatric"", ""asthma"", ""disease management"", etc.","http://hl7.org/fhir/ValueSet/care-plan-category|5.0.0","",,,,"CarePlan.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.title","CarePlan.title","","","",0,1,"Y","","Y","string {[]} {[]}
","Human-friendly name for the care plan","Human-friendly name for the care plan.","","","","","","","","","",,,,,"",,,,"CarePlan.title",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.title.id","CarePlan.title.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"care-plan-lt","CarePlan.title.extension","CarePlan.title.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"care-plan-lt","CarePlan.title.extension:xthml","CarePlan.title.extension","xthml","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/rendering-xhtml|5.2.0]]} {[]}
","String equivalent with html markup","This is an equivalent of the string on which the extension is sent, but includes additional XHTML markup, such as bold, italics, styles, tables, etc. Existing [restrictions on XHTML content](http://hl7.org/fhir/R5/narrative.html#security) apply. Note that using [markdown](http://hl7.org/fhir/extensions/5.2.0/StructureDefinition-rendering-markdown.html) allows for greater flexibility of display.","For questionnaires, see additional guidance and examples in the [SDC implementation guide](http://hl7.org/fhir/uv/sdc/STU4-ballot/rendering.html#rendering-xhtml).","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"care-plan-lt","CarePlan.title.extension:translation","CarePlan.title.extension","translation","","",0,*,"Y","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/translation|5.2.0]]} {[]}
","Language Translation (Localization)","Language translation from base language of resource to another language.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"care-plan-lt","CarePlan.title.value","CarePlan.title.value","","","",0,1,"","","","string {[]} {[]}
","Primitive value for string","The actual value","","","","","","","","","",1048576,,,,"",,,,"string.value",0,1,"",""
"care-plan-lt","CarePlan.description","CarePlan.description","","","",0,1,"Y","","Y","string {[]} {[]}
","Summary of nature of plan","A description of the scope and nature of the plan.","","Provides more detail than conveyed by category.","","","","","","","",,,,,"",,,,"CarePlan.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.description.id","CarePlan.description.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"care-plan-lt","CarePlan.description.extension","CarePlan.description.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"care-plan-lt","CarePlan.description.extension:xthml","CarePlan.description.extension","xthml","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/rendering-xhtml|5.2.0]]} {[]}
","String equivalent with html markup","This is an equivalent of the string on which the extension is sent, but includes additional XHTML markup, such as bold, italics, styles, tables, etc. Existing [restrictions on XHTML content](http://hl7.org/fhir/R5/narrative.html#security) apply. Note that using [markdown](http://hl7.org/fhir/extensions/5.2.0/StructureDefinition-rendering-markdown.html) allows for greater flexibility of display.","For questionnaires, see additional guidance and examples in the [SDC implementation guide](http://hl7.org/fhir/uv/sdc/STU4-ballot/rendering.html#rendering-xhtml).","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"care-plan-lt","CarePlan.description.value","CarePlan.description.value","","","",0,1,"","","","string {[]} {[]}
","Primitive value for string","The actual value","","","","","","","","","",1048576,,,,"",,,,"string.value",0,1,"",""
"care-plan-lt","CarePlan.subject","CarePlan.subject","","patient
","",1,1,"Y","","Y","Reference {[]} {[CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/patient-lt|0.3.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Group|5.0.0]]}
","Who the care plan is for","Identifies the patient or group whose intended care is described by the plan.","","","","","","","","","",,,,,"",,,,"CarePlan.subject",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.encounter","CarePlan.encounter","","","",0,1,"Y","","Y","Reference {[]} {[CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/encounter-lt|0.3.0]]}
","The Encounter during which this CarePlan was created","The Encounter during which this CarePlan was created or to which the creation of this record is tightly associated.","This will typically be the encounter the event occurred within, but some activities may be initiated prior to or after the official completion of an encounter but still be tied to the context of the encounter. CarePlan activities conducted as a result of the care plan may well occur as part of other encounters.","","","","","","","","",,,,,"",,,,"CarePlan.encounter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.period","CarePlan.period","","timing
","",0,1,"","","Y","Period {[]} {[]}
","Time period plan covers","Indicates when the plan did (or is intended to) come into effect and end.","Any activities scheduled as part of the plan should be constrained to the specified period regardless of whether the activities are planned within a single encounter/episode or across multiple encounters/episodes (e.g. the longitudinal management of a chronic condition).","Allows tracking what plan(s) are in effect at a particular time.","","","","","","","",,,,,"",,,,"CarePlan.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.created","CarePlan.created","","authoredOn
","",0,1,"","","Y","dateTime {[]} {[]}
","Date record was first recorded","Represents when this particular CarePlan record was created in the system, which is often a system-generated date.","","","","","","","","","",,,,,"",,,,"CarePlan.created",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.custodian","CarePlan.custodian","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/practitioner-role-lt|0.3.0], CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/care-team-lt|0.3.0], CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/patient-lt|0.3.0], CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/related-person-lt|0.3.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device|5.0.0]]}
","Who is the designated responsible party","When populated, the custodian is responsible for the care plan. The care plan is attributed to the custodian.","The custodian might or might not be a contributor.","","","","","","","","",,,,,"",,,,"CarePlan.custodian",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"care-plan-lt","CarePlan.contributor","CarePlan.contributor","","","",0,*,"Y","","","Reference {[]} {[CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/practitioner-role-lt|0.3.0], CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/care-team-lt|0.3.0], CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/patient-lt|0.3.0], CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/related-person-lt|0.3.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device|5.0.0]]}
","Who provided the content of the care plan","Identifies the individual(s), organization or device who provided the contents of the care plan.","Collaborative care plans may have multiple contributors.","","","","","","","","",,,,,"",,,,"CarePlan.contributor",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
